ID;CustomerName;CustomerAddress;CustomerEmail;CustomerPhone;salesOrder_ID
ccf5767d-b280-432d-aada-0687488fa4c8;Jim Perry;23 Texas St;cust1@sap.com;0909999111;e0eb2fab-a3b5-4f05-9db9-0ca55e626602
4d4bc6bd-17d2-4762-8b7e-b1031531f8e8;Mario Patto;via Benigno Crespi 19, Milan;cust2@sap.com;0909999112;cc4f9e12-b608-4244-9d6b-ec41fbaabb1t
b454bd42-cea8-4e2f-b40c-3a6d504450db;Claudia Schuli;piazza Loreto 5, Milan;cust2@sap.com;0909999113;05c2a7a8-9eaa-48d5-b409-63b4a96d3b54
9fd78adc-204d-4445-b055-14639b632859;Emmanuele Lodi;via Orio al Serio 19, Bergamo;cust4@sap.com;0909999114;60da6e78-f8bb-46a8-888f-4d912a54df75
3b4e9db0-fef2-4b63-a2ac-45e216c18dfc;Fabio Perre;via Benigno Crespi 7, Milan;cust5@sap.com;0909999115;9493a2ba-70e7-4fd7-912a-6008a57e36d4
5310ec15-320c-4fc1-97f8-5e2cf11babd0;Bryan Morris;23 Heathrow St, London;cust6@sap.com;0909999116;56d57019-c93e-4b9b-a579-857ac710f1c0
d3fc1e66-3265-431c-bc47-9f6abaac7d7b;Silvia Budd;2nd Buda, Hungary;cust7@sap.com;0909999117;5bd05172-47ab-410d-abc9-dde761fe2e2u
e0d23236-5784-4013-98ea-48cc843f3d05;Christian Webber;20 Wien, Austria;cust8@sap.com;0909999118;a4567c19-3af3-45c6-bd99-b41c370e7d52
67ec209c-afb8-4bed-9cb6-11a44bdb465c;Klevis Shuka;29 Tirana St;cust9@sap.com;0909999119;ca192f09-7f5d-40c6-a4bb-e7b375a549e1
204a66ba-85f2-488b-8d34-ee9c98ceffb6;Marta Gani;43 Tirana St;cust10@sap.com;0909999120;8b45ec06-9725-4880-8b86-5b1a5e8fe27k
87c844bb-459c-49b2-a72d-0b747def5e43;Loris Gatto;via Torri 9, Torino;cust11@sap.com;0909999121;e0eb2fab-a3b5-4f05-9db9-0ca55e626601
6462b345-26db-4ef3-b6dc-2b671ecd377e;Andrea Ondria;via Cagliari 54, CAG;cust12@sap.com;0909999122;cc4f9e12-b608-4244-9d6b-ec41fbaabb1e
